CodeHex;CodeInt;Note;Name;Cause;Action
0x8400;33792;超过最大速度;Velocity_speed_controller_DS_402;1. 开启速度最大限制开关后生效保护 | 2. 电机实际转速超过设定的最大轮廓速度1.2倍（固件版本 6.1.13以下版本是超过电机最大速度就保护）;1. 提高最大轮廓速度，速度设置关系为：最大电机转速>=最大轮廓速度>=目标速度。 | 2. 编码器数据异常，导致速度计算超过最大轮廓速度
0x8611;34321;跟随误差过大;Following_error_DS_402;1. 位置控制误差超过跟随误差窗口，且持续跟随误差超时时间;1. 检查接线是否正确 | 2. 增大机械增益 | 3. 调整位置跟随误差窗口 | 4. 确保电机功率是否合适 | 5. 检查是否在位置控制下发生堵转情况 | 6. 检查编码器数据是否出现异常跳变 | 7. 检查是否主站位置目标指令异常，加速度过大导致位置跟踪不上
0xFF01;65281;电气辨识错误;Electrical_identification_error_DS402;1. 电机动力线未接入、识别电阻电感错误产生负数;1. 检查电机动力线有没有接好
0xFF02;65282;换相辨识错误;Commutation_identification_error_DS402;;
0xFF03;65283;惯量辨识错误;Inertia_identification_error_DS402;1. 电机惯量过小 小于 1g*cm^2 | 2. 电机惯量过大 大于30倍惯量比，惯量辨识可能会失败或者不准确 | 3. 编码器方向错误，电机正方向与编码器方向相反，给定正力矩电流，电机负方向旋转 | 4. 最大电机转速设置过大，远远超出电机实际最大速度能到达得值，在惯量辨识过程中无法达到设定 机械辨识速度相对值 * 最大电机速度 | 5. 惯量校准过程中，闭环时电流噪声明显大于开环电流采样噪声;1. 核对最大电机速度设置是否正确 | 2. 加大转矩常数10倍,10倍的增加，再重新进行惯量辨识 | 3. 带载辨识情况下，惯量超过辨识范围30倍以上，需手动输入惯量 | 4. 调整闭环控制参数，降低闭环情况下的电流噪声
0xFF04;65284;转矩脉动辨识错误;Torque_ripple_error_DS402;1. 只支持旋转电机，空载下辨识;1. 暂不会报这个错误
0xFF05;65285;电流环评估错误;Current_loop_bandwidth_evaluation_error_DS402;;
0xFF06;65286;回零错误;Homing_error_DS402;1. 回零超时 | 2. 未找到Z相;1. 回零超时，回零超时参数设置为0 不检测超时 | 2. 检查Z相是否接好，是否有电平信号触发
0xFF07;65287;硬件短路保护;Drv_error_DS402;1. 硬件过流 导致 DRV nFault 引脚报错 | 2. 纯硬件短路保护与软件无关;1. 检查电机动力输出线是否相间短路，或者短路到地，排除短路后等待1min 功率器件冷却后，才重新正常使能电机，或者软件复位。 | 2. 在大电流输出下，驱动器散热条件不好，驱动器温度长期处于70摄氏度以上，导致硬件容易误检测到过流 | 3. 辨识过程中提示硬件过流信息，电源输出功率不够，辨识过程中因辨识电流过大导致短时间欠压，触发硬件过流保护错误
0xFF08;65288;霍尔传感器错误;Hall_error_DS402;1. 霍尔传感器电源线和数据线，未接或断线;1. 检查霍尔传感器接线情况 | 2. 检查霍尔传感器是否损坏
0xFF09;65289;正极限位置开关保护;Positive_limit_switch_protection_DS402;;
0xFF0A;65290;负极限位置开关保护;Negative_limit_switch_protection_DS402;;
0xFF0B;65291;方向辨识错误;Direction_identification_error_DS402;1. 辨识电流无法正常拖动电机，无法拖动方向辨识距离 | 2. 电机堵转，电机无法拖动 | 3. 电机惯量过大，电机开环拖动困难;1. 检查 UVW是否接好，以及电机本身是否缺相 | 2. 检查用手推电机，波形展示的当前位置是否为一条连续的曲线；如出现跳变，则需要检查编码器接线，检查编码器设置，直线或音圈电机还需要检查Z相清除累计误差开关是否关上 | 3. 检测电机是否存在堵转情况 | 4. 若辨识的现象为电机直接往一个方向运动到极限位置，需将电机推到中间重新进行方向辨识 | 5. 增大辨识参数-辨识电流幅值 | 6. 增大辨识参数-方向辨识距离 | 7. 电气增益降低到50以下再去辨识 | 8. 手动输入编码器方向
0xFF0C;65292;电角度辨识错误;Electric_angle_identification_error_DS402;1. 辨识电流无法正常拖动电机，无法拖动方向辨识距离 | 2. 电机完全堵转，电机被机械抱闸无法运动 | 3. 编码器分辨率设置错误 | 4. 增量式编码器断线，编码器无数据;1. 检查电机是否存在堵转情况，使用短距离寻相（电角度辨识模式—短距离寻相） | 2. 更换电角度辨识模式—短距离寻相 | 3. 检查编码器分辨率 | 4. 检查编码器线接线是否存在断线或接错情况
0xFF0D;65293;霍尔传感器辨识错误;Hall_identification_error_DS402;1. 辨识电流无法正常拖动电机，无法拖动方向辨识距离 | 2. 电机堵转，电机无法拖动 | 3. 霍尔传感器原始数据存在问题，霍尔缺相;1. 检查霍尔接线与霍尔信号是否正常，单端霍尔信号是否在辨识过程中受到干扰 | 2. 检测电机是否存在堵转情况 | 3. 增大辨识参数-辨识电流幅值
0xFF0E;65294;极对数辨识错误;Pole_pairs_identification_error_DS402;1. 辨识电流无法正常拖动电机，无法拖动方向辨识距离 | 2. 电机堵转，电机无法拖动 | 3. 编码器分辨率设置错误;1. 检测电机是否存在堵转情况 | 2. 增大辨识参数-极对数辨识时间 | 3. 增大辨识参数-极对数辨识等待转子稳定时间 | 4. 检查编码器分辨率设置，以及电机极距设置是否正确 | 5.检查增量编码器是否存在干扰
0xFF0F;65295;Z相辨识错误;Zphase_identification_error_DS402;1. 辨识电流无法正常拖动电机，无法拖动方向辨识距离 | 2. 电机堵转，电机无法拖动 | 3. Z相未接入，未找到Z;1. 检查电机编码器是否为ABZ增量式编码器 | 2. 检查Z相信号是否接入
0xFF10;65296;STO1 安全保护;STO1 security protection;1. STO1引脚 断开24V 触发;1. 有STO功能的驱动器，需要接硬件STO，可参考用户手册。
0xFF12;65298;压力保护超过最大值;Pressure to protect more than the maximum value;1. 力控 当前压力值超过 压力保护最大值;1. 增大压力保护最大值 | 2. 调整力控相关控制增益，提高力控准确性
0xFF13;65299;压力保护超过最小值;More than the minimum pressure protection;1. 力控 当前压力值超过 压力保护最小值;1. 减小压力保护最小值 | 2. 调整力控相关控制增益，提高力控准确性
0xFF14;65300;驱动器峰值电流过载;Driver peak current overload;1. 驱动器电流，持续超过 驱动器峰值电流持续时间，即会保护， 此为硬件固定参数，不可修改;1.发生过载后 驱动器 需要等待1min冷却，在此时间内无法再次启动使能电机 | 2.驱动器断电复位重启冷却时间清零，谨慎操作！ | 3. 排查硬件短路情况
0xFF15;65301;驱动器累计热量过载;Accumulated heat overload;1. 假设驱动器默认额定电流为10A，软件判定实际驱动器Q轴电流超过10A电流输出即为过载，用户需要根据驱动器当前散热条件来设定驱动器过载保护时间;1. 增大驱动器过载保护时间，需要在保证驱动器散热条件良好情况下 | 2. 降低电机动作节拍 | 3. 检查设置的电机额定电流是否超过了驱动器额定电流，如果超过，建议降低电机额定电流设置值
0xFF16;65302;DRV初始化错误;DRV initialization error;1. 硬件DRV在损坏时或者上电初始化阶段STO没有供电会导致DRV初始化失败报错。;1. 有STO功能的驱动器，2路STO都必须接上，少接一路STO会有这种报错现象。
0xFF17;65303;电机峰值电流过载;Motor peak current overload;1. 电机电流，持续超过电机峰值电流设定值，且累计时间超过 电机峰值电流持续时间，即会保护;1. 用户需要根据电机散热和过载能力设定 增大电机峰值电流过载过载持续时间
0xFF18;65304;直流母线过流;DC bus overcurrent;1. 硬件检测直流母线电流超过硬件设计的过流值触发;1. 硬件损坏，误报，比如一使能就报 | 2. 相间短路，相对地短路，用户接线异常导致，排除接线问题解决 | 3. 电流波动过大，超过硬件检测阈值，换向辨识小电感电机常见，降低电气增益到，减小电流控制波动解决
0xFF19;65305;直流母线掉线;DC bus disconnection;1. 高压驱动器 母线掉线 驱动器断电情况下会发送，断电发生则忽略该错误;1. 驱动器上电情况下发生则为硬件故障，联系厂家
0xFF1A;65306;硬件初始化FLAHS错误;Hardware initialization flash error;1. 硬件初始化FLAHS错误;1. 硬件损坏，联系厂家
0xFF1B;65307;eact初始化错误;Eact initialization error;1. ECAT芯片损坏 导致硬件 ECAT芯片初始化错误;1. 硬件损坏 | 2. 固件烧录错误，使用ECAT 固件烧录到了 CAN 版本驱动器，重新确认硬件型号烧录对应固件
0xFF1C;65308;母线电压采样错误;Bus voltage sampling error;1. 驱动器上电、母线电压稳定后波动在±0.5V维持100ms以上则认为成功，反之认为错误 。（新版本固件去除这个机制，不报错）;1. 电源电压不稳定更换电源 | 2. 硬件问题更换硬件
0xFF1D;65309;电流采样错误;Current sampling error;1. 硬件电流采样错误;1. 电流采样值校准值异常，一般为硬件问题，需要返修。 | 2. 有STO功能的驱动器，2路STO都必须接上，少接一路STO可能会有这种报错现象。
0xFF1E;65310;固件错误;Firmware error;1. can、eact、modbus和pulse四种类型的硬件和固件不匹配时报错;1. 重新烧录对应的固件
0xFF1F;65311;运行模式错误;Operation mode error;1. 当前运行模式为空;1. 切换到非空运行模式
0xFF20;65312;激活码密钥错误;Activation code key error;1. 驱动器出厂无授权密钥或者密钥解析失败;1. 联系原厂售后或者重新授权尝试
0xFF21;65313;激活码缺失错误;Activation code missing error;1. 驱动器没有激活;1. 联系原厂售后或者重新授权尝试
0xFF22;65314;激活码校验失败;Activation code verification error;1. 驱动器license证书错误;1. 联系原厂售后或者重新授权尝试
0xFF23;65315;未寻相（编码器未校零）错误;未寻相（编码器未校零）错误;1. 仅在用户模式下，未寻相报出 | 2. 在出厂模式时，未寻相报警告;1. 用户模式报此错误无法再运行，需切换到出厂模式，清除错误变为警告后进行寻相，寻相成功后清除警告，切换回用户模式，需执行一次参数保存
0xFF24;65316;未回零（电缸未校零）错误;未回零（电缸未校零）错误;1. 仅在用户模式下，未寻相报出 | 2. 在出厂模式时，未寻相报警告;1. 用户模式报此错误无法再运行，需切换到出厂模式，清除错误变为警告后进行寻相，寻相成功后清除警告，切换回用户模式，需执行一次参数保存
0xFF25;65317;多段运行参数错误;多段运行参数错误;1. 多段运行模式内部参数超出范围;1. 检查设置参数后是否更改过比例系数，需重新设置参数
0xFF26;65318;单位转换错误;Unit_conversion_error_DS402;1. 电子齿轮比或速度单位系数或加速度单位系数的最终计算结果，分母或分子数值超过无符号32bit数4294967295;1. 检查设置参数是否合理，重新进行设置
